Can you share the contact details of the support,contact.contact
Need to contact you guys,contact.contact
Need to get in touch with the Simpler Loan team?,contact.contact
can i get phone number of your company,contact.contact
Can I get a telephonic call?,contact.contact
I wan to speak to executive,contact.contact
Is it possible to meet any one in bank,contact.contact
I want to speak with you,contact.contact
I want to contact concerned people.,contact.contact
I want to contact your team,contact.contact
I want to tak to you,contact.contact
I want to talk to customer care executive,contact.contact
How to reach out to your team?,contact.contact
Email I can use to reach you?,contact.contact
Do you have any branch?,contact.contact
Customer support?,contact.contact
Customer service?,contact.contact
Please call me at my number,contact.contact
No answering correctly,contact.contact
Need to contact your team,contact.contact
Need to contact human,contact.contact
How to get in touch with customer service?,contact.contact
What is your customer care no. ?,contact.contact
Number I can call to discuss,contact.contact
What is your toll free number,contact.contact
What's the Email ID of abcd company,contact.contact
Where are your branches?,contact.contact
Where is your office located?,contact.contact
Where is your office?,contact.contact
Kindle send you are mobile no or email IDentification,contact.contact
i wish to talk with representative,contact.contact
Kindly send you are customer care no,contact.contact
Let me speak with an executive,contact.contact
Need to contact concerned persons,contact.contact
Want to meet your executive,contact.contact
want to talk to executive,contact.contact
What are the customer care contact?,contact.contact
What is email ID of your company?,contact.contact
What is the toll free number of abcd company,contact.contact
What is the toll free number,contact.contact
What is the nearest branch?,contact.contact
What is the email address to reach you?,contact.contact
How can the the your team be reached?,contact.contact
How can the abcd company team be reached?,contact.contact
How can I speak to an executive,contact.contact
How can I reach your team for a query?,contact.contact
How can I contact you?,contact.contact
Give your contact number.,contact.contact
abcd company team can be reached how?,contact.contact
abcd company email address?,contact.contact
abcd company office is located where?,contact.contact
Any branch at delhi?,contact.contact
Want to meet the executive for loan information,contact.contact
Want to communicate. So give me your number,contact.contact
To reach you which email address?,contact.contact
Tell me the number in which I could reach?,contact.contact
Please send you are number,contact.contact
Please provide phone no.,contact.contact
Please provide me the to contact person,contact.contact
Pease tell mobile number. I need to speak,contact.contact
Please provide me the real person,contact.contact
Please give your mobile no or email ID,contact.contact
Number to reach you,contact.contact
Need to chat with human,contact.contact
i want to know your office address in punjab?,contact.contact
Name mismatch showing on same encircle number but mobile no showing different ,faq.loyalty_encircle
Loyalty-Encircle number details not updated,faq.loyalty_encircle
  Encircle number not getting update ,faq.loyalty_encircle
Customer having an encircle in POS but its now reflecting in Encircle ,faq.loyalty_encircle
We are getting an Error while searching the Customer data in POSS.,faq.loyalty_encircle
Customer Anniversary discount header is not showing,faq.loyalty_encircle
Customer Birthday Discount header is not showing,faq.loyalty_encircle
Desktop not working in store ,faq.desktop
Connectivity issue for desktop ,faq.desktop
desktop slowness,faq.desktop
Need changed with Desktop profile ,faq.desktop
GMR WiFi is not getting connected to the system.,faq.desktop
My Address/city/state/Zip code/country/region/title/company/Department/office/Phone/Manager/Direct reports/Business/Mobile is not updated in outlook.,faq.desktop
System is not working properly.,faq.desktop
desktop is not powering on,faq.desktop
user inform us that he is not able to login in to the profile ,faq.desktop
User informs us that he is not able to login in to the domain,faq.desktop
User inform us that he has forgot the password ,faq.desktop
system not working showing blank screen,faq.desktop
unable to login in system,faq.desktop
unable to send /receive mails,faq.desktop
unable to login in system,faq.desktop
user inform us that it is taking more time to login,faq.desktop
Laptop getting hang ,faq.laptop
Laptop is not getting power on,faq.laptop
Not able to access internet,faq.internet
Not able access any sites due to changes in proxy setting,faq.internet
Not able to access internet,faq.internet
